15:43:36.631251 IP6 fe80::dd2b:da38:44c8:1eab.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:36.633302 IP6 fe80::b809:b0c9:f756:f328.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:40.366492 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
15:43:40.367173 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
15:43:40.567856 IP 192.168.48.131.47565 > 192.168.48.2.domain: 55483+ PTR? 128.48.168.192.in-addr.arpa. (45)
15:43:40.581379 IP 192.168.48.2.domain > 192.168.48.131.47565: 55483 NXDomain 0/1/0 (113)
15:43:40.605195 IP 192.168.48.131.58400 > 192.168.48.128.telnet: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:48.262184 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262221 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262253 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262302 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262333 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262364 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262395 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262499 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262785 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262844 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.263284 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.263340 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.288232 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [S.], seq 590506149, ack 4088941090, win 64240, options [mss 1460], length 0
15:43:48.288366 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 378655:394715, ack 3524, win 64239, length 16060
15:43:48.288464 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 394715:399095, ack 3524, win 64239, length 4380
15:43:48.288659 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 1, win 64240, length 0
15:43:48.289326 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.289476 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.289512 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.289541 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.289595 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.289625 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.289831 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.289907 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.290373 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.290456 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.290491 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.290543 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.290574 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.290797 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [R], seq 4088613981, win 0, length 0
15:43:48.291724 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [P.], seq 1:613, ack 1, win 64240, length 612
15:43:48.292161 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [.], ack 613, win 64240, length 0
15:43:48.350840 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [S.], seq 1047271037, ack 4089052610, win 64240, options [mss 1460], length 0
15:43:48.351909 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 1, win 64240, length 0
15:43:48.353058 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [P.], seq 1:765, ack 1, win 64240, length 764
15:43:48.353482 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], ack 765, win 64240, length 0
15:43:48.362302 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 1:1461, ack 613, win 64240, length 1460
15:43:48.362440 IP 204.79.197.200.http > 192.168.48.128.1107: Flags [S.], seq 874123712, ack 4089003775, win 64240, options [mss 1460], length 0
15:43:48.362666 IP 192.168.48.128.1107 > 204.79.197.200.http: Flags [R], seq 4089003775, win 0, length 0
15:43:48.368262 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 1461:18981, ack 613, win 64240, length 17520
15:43:48.368992 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 2921, win 64240, length 0
15:43:48.369082 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 5841, win 64240, length 0
15:43:48.369138 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 8761, win 64240, length 0
15:43:48.369169 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 11681, win 62780, length 0
15:43:48.369214 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 14601, win 59860, length 0
15:43:48.369242 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 17521, win 56940, length 0
15:43:48.369705 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 18981, win 64240, length 0
15:43:48.371136 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 18981:23361, ack 613, win 64240, length 4380
15:43:48.372070 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 21901, win 64240, length 0
15:43:48.451693 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 23361, win 64240, length 0
15:43:48.456378 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 23361:27741, ack 613, win 64240, length 4380
15:43:48.456697 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 26281, win 64240, length 0
15:43:48.466560 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 27741:45261, ack 613, win 64240, length 17520
15:43:48.466761 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 45261:49641, ack 613, win 64240, length 4380
15:43:48.468033 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 29201, win 64240, length 0
15:43:48.468147 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 32121, win 64240, length 0
15:43:48.468176 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 35041, win 64240, length 0
15:43:48.468240 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 37961, win 62780, length 0
15:43:48.468334 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 40881, win 59860, length 0
15:43:48.468424 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 43801, win 56940, length 0
15:43:48.468511 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 46721, win 54020, length 0
15:43:48.468557 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 49641, win 51100, length 0
15:43:48.469141 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 49641, win 64240, length 0
15:43:48.472389 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 49641:56941, ack 613, win 64240, length 7300
15:43:48.472751 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 52561, win 64240, length 0
15:43:48.472834 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 55481, win 64240, length 0
15:43:48.488797 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 56941:65701, ack 613, win 64240, length 8760
15:43:48.489117 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 58401, win 64240, length 0
15:43:48.489202 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 61321, win 64240, length 0
15:43:48.489412 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 64241, win 64240, length 0
15:43:48.498556 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 65701:83221, ack 613, win 64240, length 17520
15:43:48.499205 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 83221:87601, ack 613, win 64240, length 4380
15:43:48.499691 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 67161, win 64240, length 0
15:43:48.499757 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 70081, win 64240, length 0
15:43:48.499787 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 73001, win 64240, length 0
15:43:48.500399 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 75921, win 62780, length 0
15:43:48.500472 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 78841, win 59860, length 0
15:43:48.500519 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 81761, win 56940, length 0
15:43:48.500548 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 84681, win 54020, length 0
15:43:48.502145 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 87601, win 51100, length 0
15:43:48.502576 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 87601, win 64240, length 0
15:43:48.509385 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 87601:105121, ack 613, win 64240, length 17520
15:43:48.509695 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 1:362, ack 765, win 64240, length 361
15:43:48.510452 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 105121:109501, ack 613, win 64240, length 4380
15:43:48.511292 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 90521, win 64240, length 0
15:43:48.511401 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 93441, win 64240, length 0
15:43:48.511606 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 96361, win 64240, length 0
15:43:48.511765 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 99281, win 61320, length 0
15:43:48.512003 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 102201, win 58400, length 0
15:43:48.512137 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 105121, win 55480, length 0
15:43:48.512318 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 108041, win 52560, length 0
15:43:48.512730 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 109501, win 54860, length 0
15:43:48.513238 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 109501, win 64240, length 0
15:43:48.515699 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 109501:110961, ack 613, win 64240, length 1460
15:43:48.522053 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 110961:125561, ack 613, win 64240, length 14600
15:43:48.522491 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 112421, win 64240, length 0
15:43:48.522575 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 115341, win 64240, length 0
15:43:48.522807 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 118261, win 64240, length 0
15:43:48.523139 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 121181, win 62780, length 0
15:43:48.523552 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 124101, win 59860, length 0
15:43:48.534271 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 125561:143081, ack 613, win 64240, length 17520
15:43:48.534843 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 143081:146001, ack 613, win 64240, length 2920
15:43:48.536017 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 127021, win 56940, length 0
15:43:48.536628 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 129941, win 54020, length 0
15:43:48.537214 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 132861, win 51100, length 0
15:43:48.538062 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 146001:148921, ack 613, win 64240, length 2920
15:43:48.538661 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 135781, win 48180, length 0
15:43:48.539190 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 138701, win 45260, length 0
15:43:48.539874 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 141621, win 42340, length 0
15:43:48.540433 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 144541, win 39420, length 0
15:43:48.541101 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 147461, win 36500, length 0
15:43:48.547049 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 148921:166441, ack 613, win 64240, length 17520
15:43:48.547676 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 166441:170821, ack 613, win 64240, length 4380
15:43:48.548386 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 150381, win 33580, length 0
15:43:48.549033 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 153301, win 30660, length 0
15:43:48.549658 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 156221, win 27740, length 0
15:43:48.550288 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 159141, win 24820, length 0
15:43:48.551063 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 170821:183961, ack 613, win 64240, length 13140
15:43:48.551759 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 162061, win 21900, length 0
15:43:48.555513 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 164981, win 18980, length 0
15:43:48.555992 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 167901, win 16060, length 0
15:43:48.556519 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 170821, win 13140, length 0
15:43:48.556919 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 173741, win 10220, length 0
15:43:48.557279 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 176661, win 7300, length 0
15:43:48.557627 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 179581, win 4380, length 0
15:43:48.558079 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 182501, win 1460, length 0
15:43:48.571278 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [P.], seq 765:1330, ack 362, win 63879, length 565
15:43:48.571679 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], ack 1330, win 64240, length 0
15:43:48.571810 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 183961, win 3760, length 0
15:43:48.571981 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 183961:187721, ack 613, win 64240, length 3760
15:43:48.572225 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 186881, win 840, length 0
15:43:48.572575 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 187721, win 60480, length 0
15:43:48.573040 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 187721:214621, ack 613, win 64240, length 26900
15:43:48.573794 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 190641, win 57560, length 0
15:43:48.573988 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 193561, win 54640, length 0
15:43:48.574994 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 196481, win 51720, length 0
15:43:48.575102 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 199401, win 48800, length 0
15:43:48.575270 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 202321, win 45880, length 0
15:43:48.575369 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 205241, win 42960, length 0
15:43:48.575783 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 208161, win 40040, length 0
15:43:48.577098 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 211081, win 37120, length 0
15:43:48.577184 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 214001, win 34200, length 0
15:43:48.578293 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 214621, win 64240, length 0
15:43:48.579598 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 214621:232141, ack 613, win 64240, length 17520
15:43:48.580000 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 232141:236521, ack 613, win 64240, length 4380
15:43:48.580153 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 217541, win 64240, length 0
15:43:48.580211 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 220461, win 64240, length 0
15:43:48.580972 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 223381, win 64240, length 0
15:43:48.581046 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 226301, win 61320, length 0
15:43:48.581130 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 229221, win 58400, length 0
15:43:48.581160 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 232141, win 55480, length 0
15:43:48.581803 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 235061, win 52560, length 0
15:43:48.584791 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 236521:254041, ack 613, win 64240, length 17520
15:43:48.585813 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 254041:258421, ack 613, win 64240, length 4380
15:43:48.586601 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 237981, win 49640, length 0
15:43:48.586716 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 240901, win 46720, length 0
15:43:48.586784 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 243821, win 43800, length 0
15:43:48.586819 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 246741, win 40880, length 0
15:43:48.587056 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 249661, win 37960, length 0
15:43:48.587098 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 252581, win 35040, length 0
15:43:48.587161 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 255501, win 32120, length 0
15:43:48.587194 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 258421, win 29200, length 0
15:43:48.590426 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 258421:275941, ack 613, win 64240, length 17520
15:43:48.590582 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 275941:280321, ack 613, win 64240, length 4380
15:43:48.591040 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 261341, win 26280, length 0
15:43:48.591253 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 264261, win 23360, length 0
15:43:48.591393 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 267181, win 20440, length 0
15:43:48.591921 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 270101, win 17520, length 0
15:43:48.592444 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 273021, win 14600, length 0
15:43:48.595562 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 280321:287621, ack 613, win 64240, length 7300
15:43:48.595701 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 275941, win 11680, length 0
15:43:48.595760 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 278861, win 8760, length 0
15:43:48.595789 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 280321, win 64240, length 0
15:43:48.596044 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 287621:302221, ack 613, win 64240, length 14600
15:43:48.599654 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 302221:319741, ack 613, win 64240, length 17520
15:43:48.599877 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 319741:324121, ack 613, win 64240, length 4380
15:43:48.600623 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 283241, win 64240, length 0
15:43:48.601049 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 286161, win 64240, length 0
15:43:48.601238 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 289081, win 64240, length 0
15:43:48.601370 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 292001, win 61320, length 0
15:43:48.601513 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 294921, win 58400, length 0
15:43:48.601644 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 297841, win 55480, length 0
15:43:48.601768 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 300761, win 52560, length 0
15:43:48.601950 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 303681, win 49640, length 0
15:43:48.602269 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 306601, win 46720, length 0
15:43:48.602734 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 324121:325581, ack 613, win 64240, length 1460
15:43:48.603966 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 309521, win 43800, length 0
15:43:48.604473 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 312441, win 40880, length 0
15:43:48.604913 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 315361, win 37960, length 0
15:43:48.606115 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 318281, win 35040, length 0
15:43:48.606745 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 321201, win 32120, length 0
15:43:48.609468 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 324121, win 29200, length 0
15:43:48.610178 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 325581, win 64240, length 0
15:43:48.610901 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 362:22262, ack 1330, win 64240, length 21900
15:43:48.615850 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 22262:23722, ack 1330, win 64240, length 1460
15:43:48.615959 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 325581:346792, ack 613, win 64240, length 21211
15:43:48.618250 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 3282, win 64240, length 0
15:43:48.618475 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 6202, win 64240, length 0
15:43:48.618527 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 9122, win 64240, length 0
15:43:48.618814 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 12042, win 61320, length 0
15:43:48.618990 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 14962, win 58400, length 0
15:43:48.619112 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 17882, win 55480, length 0
15:43:48.619232 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 20802, win 52560, length 0
15:43:48.619377 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 23722, win 49640, length 0
15:43:48.619694 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 328501, win 64240, length 0
15:43:48.619859 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 331421, win 64240, length 0
15:43:48.619993 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 334341, win 64240, length 0
15:43:48.620124 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 337261, win 61320, length 0
15:43:48.620277 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 340181, win 58400, length 0
15:43:48.620572 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 343101, win 55480, length 0
15:43:48.620736 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 346021, win 52560, length 0
15:43:48.621289 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 23722, win 53400, length 0
15:43:48.628164 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 23722, win 64240, length 0
15:43:48.631598 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 346792, win 55549, length 0
15:43:48.631876 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 346792, win 64240, length 0
15:43:48.644315 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 23722:41242, ack 1330, win 64240, length 17520
15:43:48.645309 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 41242:44162, ack 1330, win 64240, length 2920
15:43:48.647647 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], seq 44162:54382, ack 1330, win 64240, length 10220
15:43:48.647827 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 54382:58762, ack 1330, win 64240, length 4380
15:43:48.678568 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 58762:79202, ack 1330, win 64240, length 20440
15:43:48.681917 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 26642, win 64240, length 0
15:43:48.682836 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 29562, win 64240, length 0
15:43:48.683218 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 32482, win 64240, length 0
15:43:48.683530 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 35402, win 61320, length 0
15:43:48.683907 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 38322, win 58400, length 0
15:43:48.685832 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 41242, win 55480, length 0
15:43:48.686438 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 44162, win 52560, length 0
15:43:48.687780 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 47082, win 49640, length 0
15:43:48.687874 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 79202:96722, ack 1330, win 64240, length 17520
15:43:48.688623 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 50002, win 46720, length 0
15:43:48.688999 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 52922, win 43800, length 0
15:43:48.689423 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 55842, win 40880, length 0
15:43:48.689566 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 58762, win 37960, length 0
