14:42:00.070514 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
14:42:00.074408 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
14:42:00.272869 IP 192.168.48.131.51378 > 192.168.48.2.domain: 60185+ PTR? 128.48.168.192.in-addr.arpa. (45)
14:42:00.277665 IP 192.168.48.2.domain > 192.168.48.131.51378: 60185 NXDomain 0/1/0 (113)
14:42:00.366479 ARP, Request who-has 192.168.48.128 tell 192.168.48.131, length 46
14:42:00.366738 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
14:42:00.367094 IP 192.168.48.131.59705 > 192.168.48.128.1723: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:04.257639 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 344302, win 20440, length 0
14:42:04.257903 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 347222, win 17520, length 0
14:42:04.258172 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 350142, win 14600, length 0
14:42:04.258422 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 353062, win 11680, length 0
14:42:04.258730 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 355982, win 8760, length 0
14:42:04.258848 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 358902, win 5840, length 0
14:42:04.258962 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 361822, win 2920, length 0
14:42:04.259125 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 364742, win 0, length 0
14:42:04.259307 IP 204.79.197.200.http > 192.168.48.128.rootd: Flags [.], seq 364742:364743, ack 2911, win 64240, length 1
14:42:04.259663 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 364742, win 3760, length 0
14:42:04.259925 IP 204.79.197.200.http > 192.168.48.128.rootd: Flags [P.], seq 364742:368502, ack 2911, win 64240, length 3760
14:42:04.260266 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 364743, win 64239, length 0
14:42:04.260587 IP 204.79.197.200.http > 192.168.48.128.rootd: Flags [P.], seq 368502:378653, ack 2911, win 64240, length 10151
14:42:04.260737 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 368502, win 60480, length 0
14:42:04.262619 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 368502, win 64240, length 0
14:42:04.263197 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 378653, win 54089, length 0
14:42:04.263680 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [.], ack 378653, win 64240, length 0
14:42:04.334034 IP 192.168.48.131.59706 > 192.168.48.128.417: Flags [S], seq 330679374, win 1024, options [mss 1460], length 0
14:42:04.334471 IP 192.168.48.128.417 > 192.168.48.131.59706: Flags [R.], seq 0, ack 330679375, win 0, length 0
14:42:04.336917 IP 192.168.48.131.59706 > 192.168.48.128.1029: Flags [S], seq 330679374, win 1024, options [mss 1460], length 0
14:42:04.337261 IP 192.168.48.131.59706 > 192.168.48.128.83: Flags [S], seq 330679374, win 1024, options [mss 1460], length 0
14:42:04.337556 IP 192.168.48.128.1029 > 192.168.48.131.59706: Flags [R.], seq 0, ack 330679375, win 0, length 0
14:42:04.337634 IP 192.168.48.128.83 > 192.168.48.131.59706: Flags [R.], seq 0, ack 330679375, win 0, length 0
14:42:04.435175 IP 192.168.48.131.59705 > 192.168.48.128.56738: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:04.435272 IP 192.168.48.131.59705 > 192.168.48.128.cisco-sccp: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:04.435300 IP 192.168.48.131.59705 > 192.168.48.128.8333: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:04.436371 IP 192.168.48.128.56738 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:04.436672 IP 192.168.48.128.cisco-sccp > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:04.436922 IP 192.168.48.128.8333 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:04.469803 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [P.], seq 1894:2488, ack 46617, win 64240, length 594
14:42:04.470255 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [.], ack 2488, win 64240, length 0
14:42:04.473807 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [P.], seq 2911:3523, ack 378653, win 64240, length 612
14:42:04.474231 IP 204.79.197.200.http > 192.168.48.128.rootd: Flags [.], ack 3523, win 64240, length 0
14:42:04.475443 IP 192.168.48.128.rootd > 204.79.197.200.http: Flags [R], seq 3277260584, win 0, length 0
14:42:04.478228 IP 192.168.48.128.1096 > 204.79.197.200.http: Flags [S], seq 3277616622, win 64240, options [mss 1460,nop,nop,sackOK], length 0
14:42:04.496839 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [S], seq 3277664406, win 64240, options [mss 1460,nop,nop,sackOK], length 0
14:42:04.499037 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 46617:59646, ack 2488, win 64240, length 13029
14:42:04.500127 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 49537, win 64240, length 0
14:42:04.500199 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 52457, win 64240, length 0
14:42:04.500229 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 55377, win 64240, length 0
14:42:04.500256 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 58297, win 61320, length 0
14:42:04.500283 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 59646, win 63731, length 0
14:42:04.501761 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [P.], seq 2488:3100, ack 59646, win 63731, length 612
14:42:04.502235 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [.], ack 3100, win 64240, length 0
14:42:04.522924 IP 204.79.197.200.http > 192.168.48.128.1096: Flags [S.], seq 767426711, ack 3277616623, win 64240, options [mss 1460], length 0
14:42:04.523574 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [S.], seq 275001313, ack 3277664407, win 64240, options [mss 1460], length 0
14:42:04.523659 IP 192.168.48.128.1096 > 204.79.197.200.http: Flags [R], seq 3277616623, win 0, length 0
14:42:04.523777 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 1, win 64240, length 0
14:42:04.524553 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [P.], seq 1:765, ack 1, win 64240, length 764
14:42:04.524994 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [.], ack 765, win 64240, length 0
14:42:04.535372 IP 192.168.48.131.59706 > 192.168.48.128.8333: Flags [S], seq 330679374, win 1024, options [mss 1460], length 0
14:42:04.535643 IP 192.168.48.128.8333 > 192.168.48.131.59706: Flags [R.], seq 0, ack 330679375, win 0, length 0
14:42:04.535774 IP 192.168.48.131.59706 > 192.168.48.128.cisco-sccp: Flags [S], seq 330679374, win 1024, options [mss 1460], length 0
14:42:04.536017 IP 192.168.48.128.cisco-sccp > 192.168.48.131.59706: Flags [R.], seq 0, ack 330679375, win 0, length 0
14:42:04.536272 IP 192.168.48.131.59706 > 192.168.48.128.56738: Flags [S], seq 330679374, win 1024, options [mss 1460], length 0
14:42:04.536509 IP 192.168.48.128.56738 > 192.168.48.131.59706: Flags [R.], seq 0, ack 330679375, win 0, length 0
14:42:04.540887 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 59646:77166, ack 3100, win 64240, length 17520
14:42:04.541609 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 77166:81546, ack 3100, win 64240, length 4380
14:42:04.543248 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 81546:83006, ack 3100, win 64240, length 1460
14:42:04.544186 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 62566, win 64240, length 0
14:42:04.544317 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 65486, win 64240, length 0
14:42:04.544464 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 68406, win 64240, length 0
14:42:04.544499 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 71326, win 61320, length 0
14:42:04.544526 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 74246, win 58400, length 0
14:42:04.544553 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 77166, win 55480, length 0
14:42:04.544580 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 80086, win 52560, length 0
14:42:04.544606 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 83006, win 53400, length 0
14:42:04.544632 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 83006, win 64240, length 0
14:42:04.546476 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 83006:103446, ack 3100, win 64240, length 20440
14:42:04.547026 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 85926, win 64240, length 0
14:42:04.547105 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 88846, win 64240, length 0
14:42:04.547132 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 91766, win 64240, length 0
14:42:04.547158 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 94686, win 61320, length 0
14:42:04.547199 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 97606, win 58400, length 0
14:42:04.547286 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 100526, win 55480, length 0
14:42:04.547377 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 103446, win 52560, length 0
14:42:04.549125 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 103446:110746, ack 3100, win 64240, length 7300
14:42:04.549615 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 106366, win 49640, length 0
14:42:04.549706 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 109286, win 46720, length 0
14:42:04.564651 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 110746, win 49020, length 0
14:42:04.564763 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 110746, win 64240, length 0
14:42:04.567625 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 110746:128266, ack 3100, win 64240, length 17520
14:42:04.568553 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 128266:132646, ack 3100, win 64240, length 4380
14:42:04.568670 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 113666, win 64240, length 0
14:42:04.568791 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 116586, win 64240, length 0
14:42:04.568839 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 119506, win 64240, length 0
14:42:04.568868 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 122426, win 61320, length 0
14:42:04.568907 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 125346, win 58400, length 0
14:42:04.568935 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 128266, win 55480, length 0
14:42:04.569299 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 132646:134106, ack 3100, win 64240, length 1460
14:42:04.569491 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 131186, win 52560, length 0
14:42:04.569688 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 134106, win 49640, length 0
14:42:04.571511 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 134106:142866, ack 3100, win 64240, length 8760
14:42:04.572188 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 137026, win 46720, length 0
14:42:04.572926 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 142866:147246, ack 3100, win 64240, length 4380
14:42:04.573315 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 139946, win 43800, length 0
14:42:04.573409 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 142866, win 40880, length 0
14:42:04.573691 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 145786, win 37960, length 0
14:42:04.575041 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 147246:164766, ack 3100, win 64240, length 17520
14:42:04.575360 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 148706, win 35040, length 0
14:42:04.575930 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 164766:169146, ack 3100, win 64240, length 4380
14:42:04.576451 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 169146:170606, ack 3100, win 64240, length 1460
14:42:04.576539 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 151626, win 32120, length 0
14:42:04.576744 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 154546, win 29200, length 0
14:42:04.576884 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 157466, win 26280, length 0
14:42:04.577684 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 170606:176446, ack 3100, win 64240, length 5840
14:42:04.577799 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 160386, win 23360, length 0
14:42:04.577853 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 163306, win 20440, length 0
14:42:04.578223 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 166226, win 17520, length 0
14:42:04.578417 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 169146, win 14600, length 0
14:42:04.578590 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 172066, win 11680, length 0
14:42:04.578748 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 174986, win 8760, length 0
14:42:04.579424 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 176446, win 64240, length 0
14:42:04.595352 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 176446:195426, ack 3100, win 64240, length 18980
14:42:04.595769 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 179366, win 64240, length 0
14:42:04.595850 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 182286, win 64240, length 0
14:42:04.596455 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 185206, win 64240, length 0
14:42:04.596695 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 195426:198346, ack 3100, win 64240, length 2920
14:42:04.596854 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 188126, win 61320, length 0
14:42:04.597151 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 191046, win 58400, length 0
14:42:04.597234 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 193966, win 55480, length 0
14:42:04.597462 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 196886, win 52560, length 0
14:42:04.598025 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 198346, win 64240, length 0
14:42:04.600166 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 198346:214406, ack 3100, win 64240, length 16060
14:42:04.600574 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 201266, win 64240, length 0
14:42:04.600745 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 204186, win 64240, length 0
14:42:04.600867 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 207106, win 64240, length 0
14:42:04.601137 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 210026, win 61320, length 0
14:42:04.601654 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 214406:223166, ack 3100, win 64240, length 8760
14:42:04.602651 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 212946, win 58400, length 0
14:42:04.602754 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 215866, win 55480, length 0
14:42:04.603043 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 218786, win 52560, length 0
14:42:04.603206 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 221706, win 49640, length 0
14:42:04.604293 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [P.], seq 1:362, ack 765, win 64240, length 361
14:42:04.604412 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 223166:239226, ack 3100, win 64240, length 16060
14:42:04.604965 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 239226:245066, ack 3100, win 64240, length 5840
14:42:04.605085 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 223166, win 51940, length 0
14:42:04.605121 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 223166, win 64240, length 0
14:42:04.605873 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 245066, win 42340, length 0
14:42:04.606296 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 245066, win 46100, length 0
14:42:04.607085 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 245066:262586, ack 3100, win 64240, length 17520
14:42:04.607423 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 247986, win 43180, length 0
14:42:04.607979 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 262586:264046, ack 3100, win 64240, length 1460
14:42:04.608671 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 250906, win 40260, length 0
14:42:04.609191 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 264046:269886, ack 3100, win 64240, length 5840
14:42:04.609347 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 253826, win 37340, length 0
14:42:04.609446 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 256746, win 34420, length 0
14:42:04.609818 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 259666, win 31500, length 0
14:42:04.609900 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 262586, win 28580, length 0
14:42:04.610164 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 265506, win 25660, length 0
14:42:04.610304 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 268426, win 22740, length 0
14:42:04.610791 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 269886, win 39420, length 0
14:42:04.611813 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 269886, win 64240, length 0
14:42:04.614355 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [P.], seq 765:1330, ack 362, win 63879, length 565
14:42:04.614728 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [.], ack 1330, win 64240, length 0
14:42:04.622568 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 269886:272806, ack 3100, win 64240, length 2920
14:42:04.622867 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 272806, win 64240, length 0
14:42:04.625456 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 272806:294706, ack 3100, win 64240, length 21900
14:42:04.625849 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 275726, win 64240, length 0
14:42:04.626309 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 278646, win 64240, length 0
14:42:04.626506 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 281566, win 64240, length 0
14:42:04.626947 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 294706:303466, ack 3100, win 64240, length 8760
14:42:04.627196 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 284486, win 61320, length 0
14:42:04.627531 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 287406, win 58400, length 0
14:42:04.627712 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 290326, win 55480, length 0
14:42:04.627845 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 293246, win 52560, length 0
14:42:04.628037 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 296166, win 49640, length 0
14:42:04.628269 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 299086, win 46720, length 0
14:42:04.628419 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 302006, win 43800, length 0
14:42:04.628883 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 303466, win 64240, length 0
14:42:04.632010 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 303466:307846, ack 3100, win 64240, length 4380
14:42:04.634641 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 307846:323906, ack 3100, win 64240, length 16060
14:42:04.635013 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 323906:325366, ack 3100, win 64240, length 1460
14:42:04.635313 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 306386, win 64240, length 0
14:42:04.635507 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 309306, win 64240, length 0
14:42:04.635790 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 312226, win 64240, length 0
14:42:04.636309 IP 192.168.48.131.59705 > 192.168.48.128.1046: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:04.636385 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 315146, win 61320, length 0
14:42:04.636439 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 318066, win 58400, length 0
14:42:04.636503 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 320986, win 55480, length 0
14:42:04.636535 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 323906, win 52560, length 0
14:42:04.636712 IP 192.168.48.128.1046 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:04.637233 IP 192.168.48.131.59705 > 192.168.48.128.1113: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:04.637891 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 325366:342886, ack 3100, win 64240, length 17520
14:42:04.638130 IP 192.168.48.131.59705 > 192.168.48.128.1259: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:04.638964 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 342886:350186, ack 3100, win 64240, length 7300
14:42:04.639430 IP 192.168.48.128.1113 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:04.639911 IP 192.168.48.128.1259 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:04.641801 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 350186:369166, ack 3100, win 64240, length 18980
14:42:04.642732 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 350186, win 30040, length 0
14:42:04.643186 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 369166, win 11060, length 0
14:42:04.643602 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 369166, win 20440, length 0
14:42:04.644820 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 369166, win 64240, length 0
14:42:04.645118 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 369166:389606, ack 3100, win 64240, length 20440
14:42:04.645411 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 389606:391066, ack 3100, win 64240, length 1460
14:42:04.646015 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 391066, win 42340, length 0
14:42:04.646687 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 391066, win 46100, length 0
14:42:04.647671 IP 204.79.197.200.http > 192.168.48.128.1095: Flags [P.], seq 391066:406437, ack 3100, win 64240, length 15371
14:42:04.647809 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [P.], seq 362:3282, ack 1330, win 64240, length 2920
14:42:04.647898 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 391066, win 64240, length 0
14:42:04.648212 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [P.], seq 3282:6202, ack 1330, win 64240, length 2920
14:42:04.651196 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [P.], seq 6202:22262, ack 1330, win 64240, length 16060
14:42:04.651760 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [P.], seq 22262:23722, ack 1330, win 64240, length 1460
14:42:04.652385 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 393986, win 64240, length 0
14:42:04.652997 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 396906, win 64240, length 0
14:42:04.653110 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 399826, win 64240, length 0
14:42:04.653273 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 402746, win 61320, length 0
14:42:04.653386 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 405666, win 58400, length 0
14:42:04.653579 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 3282, win 64240, length 0
14:42:04.653813 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 6202, win 64240, length 0
14:42:04.653962 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 9122, win 64240, length 0
14:42:04.654164 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 12042, win 61320, length 0
14:42:04.654318 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 14962, win 58400, length 0
14:42:04.654452 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 17882, win 55480, length 0
14:42:04.654648 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 20802, win 52560, length 0
14:42:04.654792 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 23722, win 49640, length 0
14:42:04.655299 IP 192.168.48.128.1095 > 204.79.197.200.http: Flags [.], ack 406437, win 64240, length 0
14:42:04.655841 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 23722, win 53400, length 0
14:42:04.657800 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 23722, win 64240, length 0
14:42:04.676754 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [P.], seq 23722:35402, ack 1330, win 64240, length 11680
14:42:04.677939 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 26642, win 64240, length 0
14:42:04.678409 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 29562, win 64240, length 0
14:42:04.679087 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 32482, win 64240, length 0
14:42:04.679396 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [P.], seq 35402:52922, ack 1330, win 64240, length 17520
14:42:04.679983 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [P.], seq 52922:55842, ack 1330, win 64240, length 2920
14:42:04.680601 IP 204.79.197.200.http > 192.168.48.128.1097: Flags [P.], seq 55842:60222, ack 1330, win 64240, length 4380
14:42:04.682008 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 35402, win 61320, length 0
14:42:04.683307 IP 192.168.48.128.1097 > 204.79.197.200.http: Flags [.], ack 38322, win 58400, length 0
